지역,업소명,사업자명(대표자),소재지,Latitude,Longitude,총면적(제곱미터),홀수(홀),세부종류
강원,알펜시아 700골프클럽,강원도개발공사(이만희),강원도 평창군 대관령면 솔봉로 325,37.6541474,128.6528153,1270178,18,대중제
강원,하이원컨트리클럽,㈜강원랜드(이삼걸),강원도 정선군 고한읍 하이원길 265,37.2065458,128.8271198,1079662,18,대중제
강원,에콜리안정선골프장,"정선군,국민체육진흥공단",강원도 정선군 신동읍 새골길 112-49,37.2226424,128.6834309,504138,9,대중제
강원,한탄강컨트리클럽,㈜귀뚜라미랜드(이의병),강원도 철원군 갈말읍 순담길 59,38.1695289,127.2933806,876679,18,대중제
강원,설악썬밸리컨트리클럽,㈜동광개발(김상주),강원도 고성군 죽왕면 순포로 188,38.3133831,128.502205,1481037,27,대중제
강원,소노펠리체 컨트리클럽 델피노,"㈜소노인터내셔널(민병소, 유태완)",강원도 고성군 토성면 미시령옛길 1153,38.2100918,128.4978166,642826,18,대중제
강원,파인리즈컨트리클럽,(주)에이치제이매그놀리아 용평파인리즈골프앤리조트(신달순),강원도 고성군 토성면 잼버리동로 267,38.2427407,128.5368101,1484811,27,대중제
강원,설해원,㈜새서울레저(권기연),강원도 양양군 손양면 공항로 230,38.0533434,128.6630572,1430946,27,대중제
강원,설해원 더 레전드 코스,㈜새서울레저(안제근),강원도 양양군 손양면 공항로 230,38.0533434,128.6630572,885584,18,대중제
충북,그랜드,청주개발㈜임재풍,청주시 청원군 오창읍 꽃화산길 14,36.7229126,127.3873369,1696299,27,회원제
충북,에스엘세레스임페리얼레이크,㈜에스엘레스안중기,충주시 금가면 다래울길 52,37.0285477,127.8664566,830332,18,대중제
충북,"아난티 중앙골프클럽(구,디에머슨)",중앙관광개발(준)이만규,진천군 백곡면 배티로 818-105,36.9377276,127.3390363,1151924,27,회원제
충북,천룡,천룡종합개발㈜윤진동,진천군 이월면 진안로 347-123,36.9452667,127.3867977,1153107,27,회원제
충북,천룡,천룡종합개발㈜윤진동,진천군 이월면 진안로 425,36.9557484,127.3945166,259636,9,대중제
충북,시그너스,㈜시그너스CC김영란 강석무,충주시 앙성면 중방곡길 57-44,37.1765227,127.7393355,345018,9,대중제
충북,시그너스,㈜시그너스골프CC강석무,충주시 앙성면 중방곡길 57-44,37.1765227,127.7393355,893383,18,대중제
충북,떼제베,㈜떼제베운영최영범,청주시 흥덕구 옥산면 동림2길 149,36.6669422,127.317563,1567859,36,대중제
충북,썬밸리,㈜연흥개발이신근,음성군 삼성면 법말길 49,37.0191526,127.4937611,944976,18,대중제
충북,"세레니티cc(구, 실크리버)",㈜다음홀딩스김주영,청주시 서원구 남이면 문곡구절골길 235,36.5457897,127.392329,1075151,18,회원제
충북,"세레니티cc(구, 실크리버)",㈜다음홀딩스김주영,청주시 서원구 남이면 문곡구절골길 236,36.5457897,127.392329,465281,9,대중제
충북,중원,(유)중원골프크럽이용규,충주시 산척면 인등로 392,37.0693359,127.9926888,1179674,27,대중제
충북,레인보우힐스,㈜디비월드최경진,음성군 생극면 차생로 168,37.0275473,127.6475141,2180205,27,대중제
충북,스타cc,㈜나인포인트 김환웅,충주시 앙성면 상대촌1길 198,37.0906426,127.7125735,1005341,18,회원제
충북,아름다운cc,㈜아름다은정현숙,진천군 백곡면 소토골길 61,36.900198,127.3143253,1434573,27,대중제
충북,골드나인,호정개발㈜정용희,청주시 청원구 낭성면 산성로 1520-17,36.6149946,127.6188366,421101,9,대중제
충북,센테리움,금강센테리움㈜최상순,충주시 노은면 솔고개로 750,37.0369893,127.781351,1415008,27,대중제
충북,대호단양,㈜대호아이알황호연,단양군 매포읍 고양5길 43,37.0920322,128.2758938,920073,18,대중제
충북,대영베이스,㈜대영베이스권혁희,충주시 대소원면 성종두담길 113,36.9483264,127.8400189,999268,18,대중제
충북,골프존카운티 진천,㈜지씨진천서상현,진천군 진천읍 송강로 783-51,36.8169824,127.4008884,1200500,27,대중제
충북,오창에딘버러,"운하리조트㈜오형근,이창옥",청주시 청원구 오창읍 두릉유리로 846,36.7371398,127.4276714,391643,9,대중제
충북,이븐데일,(주)경원실업홍승우,청주시 상당구 미원면 대신2길 31,36.6871097,127.6057439,982711,18,대중제
충북,킹즈락,㈜이엔엘정성훈,제천시 천남동 내토로7길 136,37.1316224,128.1829465,1253344,27,대중제
충북,골프존카운티화랑,골프존카운티㈜서상현,진천군 문백면 농다리로 809,36.8161127,127.4756722,998111,18,대중제
충북,젠스필드,㈜신라레져이상균,음성군 삼성면 덕호로 382,37.0397875,127.5143093,896185,18,대중제
충북,로얄포레,"㈜신니개발김상현, 최동호",충주시 신니면 화치3길 35,36.9958374,127.679149,926019,18,대중제
충북,대영힐스,㈜대영베이스권혁희,충주시 대소원면 성종두담길 114,36.9543081,127.8546149,1167916,27,대중제
충북,진양밸리,진양개발㈜이종현,음성군 삼성면 금일로 1195,37.0304161,127.4650853,1372015,27,대중제
충북,에콜리안제천,국민체육진흥공단조재기,제천시 고암동 송학 주천로 102,37.1729277,128.2383166,371280,9,대중제
충북,코스카,항석개발㈜이종광,음성군 음성읍 동음로 318,36.9318643,127.6211268,1421784,27,대중제
충북,클럽디속리산,㈜이도 최정훈,보은군 탄부면 평각상장로 230,36.4471209,127.7822848,828506,18,대중제
충북,킹스데일,킹스데일㈜,충주시 주덕면 기업도시3로 2,37.0181249,127.8130259,870252,18,대중제
충북,동촌,문성레저개발㈜이완희,충주시 노은면 감노로 1327,37.0572467,127.7467106,1047645,18,대중제
충북,세일,세일개발㈜권민수,충주시 신니면 동락길 207,37.0191131,127.6733477,880653,18,대중제
충북,클럽디보은,㈜이도 최정훈,보은군 보은읍 장속중초로 386,36.5100165,127.6913267,944128,18,대중제
충북,감곡cc,캠토㈜심천보,음성군 감곡면 문촌리 산81-6,37.1320677,127.695309,1023114,18,대중제
충북,영동일라이트컨트리클럽,레인보우㈜전문수,영동군 영동읍 매천리 산35-1,36.1553933,127.7866798,889884,18,대중제
충북,올데이골프앤리조트,㈜에스엘세레스안중기,충주시 앙성면 조천리 350,37.1072826,127.7996784,1371052,27,대중제
충북,일레븐,(주)일레븐건설송창의,충주시 앙성면 본평리 산 43-1,37.0989326,127.7317269,1245258,18,대중제
충북,블랙스톤,㈜블랙스톤에듀팜원성역,증평군 도안면 벼루재길 334,36.8276286,127.6060578,690038,18,대중제
충남,우정힐스 컨트리클럽,그린나래㈜,천안시 동남구 목천읍 충정로 1048-68,36.7884503,127.2125635,1049767,18,회원제
충남,천안상록골프장,공무원연금관리공단,천안시 동남구 수신면 수신로 576,36.7407807,127.2884719,1314137,27,대중제
충남,골프존카운티 천안,㈜지씨천안,천안시 동남구 병천면 매성2길 103,36.802691,127.3129886,913887,18,대중제
충남,뉴데이컨트리클럽,㈜마론,천안시 동남구 북면 납안5길 74,36.8677012,127.2580478,1027365,18,회원제
충남,프린세스 골프클럽,공주개발(주),공주시 정안면 방자들길 81-50(인풍리),36.6488886,127.1160836,751706,18,대중제
충남,골드리버CC,㈜웅진,공주시 의당면 신정말길 67-133(청룡리),36.5019486,127.1514209,152438,9,대중제
충남,계룡산골프장,계룡산골프장,공주시 계룡면 아랫난댕이길 17(내흥리),36.4075621,127.1827797,103426,9,대중제
충남,보령베이스CC,㈜대천리조트,보령시 옥마벚길 10,36.3324278,126.6227276,350420,9,대중제
충남,에스앤 골프리조트,㈜에스앤골프리조트,보령시 남포면 양항리 650-2,36.2955332,126.5584626,205503,9,대중제
충남,도고컨트리구락부,㈜도고칸추리크럽,아산시 선장면 삼봉산길 188,36.7770069,126.891303,904536,18,회원제
충남,에스지아름다운골프&리조트,㈜단톡,아산시 영인면 영인산로 440,36.8496118,126.9271288,1648880,27,대중제
충남,서산수 골프앤리조트,서산수골프앤리조트,서산시 대산읍 삼길포7로 8,36.9955589,126.4486566,955691,18,대중제
충남,더힐 컨트리클럽,㈜일상,논산시 상월면 선비로 1079,36.2760453,127.1693007,247641,9,대중제
충남,아리스타 CC,대양레져산업개발㈜,연무읍 황화정리 산100,36.0950746,127.1117013,898530,18,대중제
충남,파인스톤 컨트리클럽,㈜동양관광레저,당진시 송산면 무수들길 90,36.9613421,126.6672704,686891,18,대중제
충남,파나시아 골프클럽,만진집단㈜,당진시 신평면 계명길 33,36.8861135,126.7909576,387448,9,대중제
충남,에딘버러 컨트리클럽,(주)부토,금산군 진산면 살구정길 167,36.1541705,127.3257932,1024690,18,회원제
충남,백제컨트리클럽,백제컨트리클럽㈜,부여군 은산면 충절로 3734-82,36.3288322,126.8154799,1459801,27,대중제
충남,㈜호텔롯데 스카이힐 부여CC,㈜호텔롯데,부여군 규암면 백제문로 470,36.2944985,126.8964414,981904,18,대중제
충남,골든베이골프&리조트,㈜셀럽골프앤리조트,태안군 근흥면 정선포로 217,36.7109073,126.1721292,1385535,27,대중제
충남,스톤비치컨트리클럽,㈜스톤비치,태안군 근흥면 갈음이길 88,36.6958434,126.1602608,523948,18,대중제
충남,로얄링스1,로얄링스㈜,태안군 태안읍 반곡길 284,36.7360038,126.3219037,707220,18,대중제
충남,로얄링스2,로얄링스㈜,태안군 태안읍 반곡길 284,36.7360038,126.3219037,714790,18,대중제
